L,b,h,P,max_disp,avg_disp_load_face,max_von_mises,num_nodes,num_elements,exec_time,mass_g,ccx_finished,frd_exists,load_balanced,nodes_elements_exist,non_nan,constraints_satisfied,status
100.0,20.0,3.0,100.0,3.63810980967789,3.637271528467173,339.73127829692913,5532,2632,1.0858399868011475,47.099999999999994,True,True,True,True,True,False,SUCCESS
100.0,20.0,3.5,100.0,2.2931265739295164,2.2925406838775544,247.40084147857416,5578,2654,1.1076438426971436,54.949999999999996,True,True,True,True,True,False,SUCCESS
100.0,20.0,4.0,100.0,1.537477396770951,1.5369790499648384,188.2025256571929,5542,2640,1.083791732788086,62.8,True,True,True,True,True,False,SUCCESS
100.0,20.0,4.5,100.0,1.0810397918570545,1.0806190712344357,143.43668234960194,6699,3503,1.5407016277313232,70.64999999999999,True,True,True,True,True,False,SUCCESS
100.0,20.0,5.0,100.0,0.7888023919735531,0.7884562626488116,114.90695663213207,6985,3707,1.600184440612793,78.5,True,True,True,True,True,False,SUCCESS
100.0,20.0,5.5,100.0,0.5934348135412845,0.5931107644190067,101.09486636089034,7568,3992,1.7965707778930664,86.35,True,True,True,True,True,False,SUCCESS
100.0,20.0,6.0,100.0,0.45752242674788457,0.4572323773838801,83.01772761163743,7702,4099,1.8386640548706055,94.19999999999999,True,True,True,True,True,True,SUCCESS
100.0,20.0,6.5,100.0,0.36020261456595737,0.3599411025533959,70.2506140677502,7859,4226,1.9540636539459229,102.05,True,True,True,True,True,True,SUCCESS
100.0,20.0,7.0,100.0,0.2886971195422321,0.2884251408054968,60.94446762314245,8868,4868,2.323591470718384,109.89999999999999,True,True,True,True,True,True,SUCCESS
100.0,20.0,7.5,100.0,0.23496749544757972,0.23472127519434516,52.52997169409656,9546,5384,2.5505688190460205,117.75,True,True,True,True,True,True,SUCCESS
100.0,20.0,8.0,100.0,0.1938188021947264,0.19358520650206634,45.309768412092225,10096,5776,3.3283886909484863,125.6,True,True,True,True,True,True,SUCCESS
