L,b,h,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,f6_Hz,num_nodes,num_elements,status
100.0,20.0,3.0,247.42927734815655,1543.8272986976779,1588.2100419029994,2328.7535357711818,4304.765604970072,7109.333533257077,5532,2632,SUCCESS
100.0,20.0,4.0,329.52760403773675,1588.777747585008,2050.289681139878,3016.9490589971224,5689.606187350702,8578.164953755593,5542,2640,SUCCESS
100.0,20.0,5.0,411.31876168714956,1589.1794546613721,2547.4785825129425,3646.8779575571207,7017.881511407043,8579.750136988789,6985,3707,SUCCESS
100.0,20.0,6.0,492.81070804354965,1589.6605800543387,3037.3702297452437,4214.933780440713,8305.023240421282,8581.672728701338,7702,4099,SUCCESS
100.0,20.0,7.0,574.1508205842401,1590.2015477059083,3518.5083551074904,4730.108781932594,8583.821320433079,9540.442796029518,8868,4868,SUCCESS
